Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
4986,MX-2012-134530,2012-01-03,2012-04-03,Second Class,NZ-18565,Nick Zandusky,Home Office,Cartagena,Bolívar,Colombia,,LATAM,South,FUR-BO-10003221,Furniture,Bookcases,"Safco Corner Shelving, Mobile",506.6,5,0.0,75.9,9.66,Medium
4985,MX-2012-134530,2012-01-03,2012-04-03,Second Class,NZ-18565,Nick Zandusky,Home Office,Cartagena,Bolívar,Colombia,,LATAM,South,OFF-AR-10001061,Office Supplies,Art,"Stanley Sketch Pad, Water Color",63.48,2,0.0,30.44,8.76,Medium
4984,MX-2012-134530,2012-01-03,2012-04-03,Second Class,NZ-18565,Nick Zandusky,Home Office,Cartagena,Bolívar,Colombia,,LATAM,South,TEC-CO-10002998,Technology,Copiers,"Sharp Ink, Laser",82.77412,1,0.002,24.71412,6.19,Medium
4987,MX-2012-134530,2012-01-03,2012-04-03,Second Class,NZ-18565,Nick Zandusky,Home Office,Cartagena,Bolívar,Colombia,,LATAM,South,OFF-PA-10003708,Office Supplies,Paper,"Green Bar Computer Printout Paper, Premium",39.68,2,0.0,0.36,3.44,Medium
18511,ES-2012-3082564,2012-01-03,2012-05-03,Standard Class,JC-15340,Jasper Cacioppo,Consumer,Bristol,England,United Kingdom,,EU,North,OFF-BI-10004628,Office Supplies,Binders,"Cardinal Binder, Durable",45.99,3,0.0,2.25,2.73,Medium
18510,ES-2012-3082564,2012-01-03,2012-05-03,Standard Class,JC-15340,Jasper Cacioppo,Consumer,Bristol,England,United Kingdom,,EU,North,OFF-ST-10003764,Office Supplies,Storage,"Tenex Box, Industrial",50.94,3,0.0,23.94,1.04,Medium
48429,TU-2012-7270,2012-01-03,2012-05-03,Standard Class,RM-9750,Roland Murray,Consumer,Istanbul,Istanbul,Turkey,,EMEA,EMEA,OFF-ACC-10004281,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",2.8080000000000003,1,0.6,-0.7020000000000001,0.19,High
40000,CA-2012-133494,2012-01-03,2012-05-03,Standard Class,RP-19390,Resi Pölking,Consumer,Philadelphia,Pennsylvania,United States,19120.0,US,East,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,3.552,2,0.2,0.444,0.1,Medium
23906,IN-2012-39343,2012-01-05,2012-03-05,Second Class,KM-16225,Kalyca Meade,Corporate,Adelaide,South Australia,Australia,,APAC,Oceania,FUR-FU-10002890,Furniture,Furnishings,"Rubbermaid Frame, Durable",384.912,4,0.1,12.792,58.7,High
8183,US-2012-157056,2012-01-05,2012-06-05,Second Class,DK-12835,Damala Kotsonis,Corporate,Arraiján,Panama,Panama,,LATAM,Central,TEC-MA-10002710,Technology,Machines,"Okidata Printer, Durable",214.896,4,0.7,-243.584,41.95,High
43323,CA-2012-5460,2012-01-05,2012-03-05,First Class,BP-1155,Becky Pak,Consumer,Edmonton,Alberta,Canada,,Canada,Canada,OFF-KRA-10001807,Office Supplies,Envelopes,"Kraft Manila Envelope, Security-Tint",115.56,4,0.0,9.24,33.91,Critical
16387,ES-2012-5249245,2012-01-05,2012-05-05,Standard Class,PF-19225,Phillip Flathmann,Consumer,Weimar,Thuringia,Germany,,EU,Central,OFF-ST-10003153,Office Supplies,Storage,"Tenex File Cart, Single Width",363.44699999999995,3,0.1,149.33700000000002,33.11,Medium
35290,CA-2012-161998,2012-01-05,2012-05-05,Standard Class,DB-13120,David Bremer,Corporate,Tampa,Florida,United States,33614.0,US,South,OFF-AR-10004022,Office Supplies,Art,Panasonic KP-380BK Classic Electric Pencil Sharpener,172.704,6,0.2,10.794,16.62,Medium
15697,ES-2012-2680511,2012-01-05,2012-04-05,Second Class,BF-11215,Benjamin Farhat,Home Office,Karlsruhe,Baden-Württemberg,Germany,,EU,Central,OFF-BI-10001621,Office Supplies,Binders,"Cardinal Binding Machine, Economy",99.54,2,0.0,27.84,16.5,High
3712,MX-2012-107811,2012-01-05,2012-03-05,First Class,DL-13315,Delfina Latchford,Consumer,Guadalajara,Jalisco,Mexico,,LATAM,North,TEC-PH-10002493,Technology,Phones,"Nokia Signal Booster, with Caller ID",91.0,1,0.0,20.02,11.92,Medium
43322,CA-2012-5460,2012-01-05,2012-03-05,First Class,BP-1155,Becky Pak,Consumer,Edmonton,Alberta,Canada,,Canada,Canada,FUR-DEF-10000639,Furniture,Furnishings,"Deflect-O Photo Frame, Black",51.9,1,0.0,11.4,9.99,Critical
23744,ID-2012-68225,2012-01-05,2012-05-05,Second Class,PS-18760,Pamela Stobb,Consumer,Kuala Lumpur,Kuala Lumpur,Malaysia,,APAC,Southeast Asia,FUR-CH-10002412,Furniture,Chairs,"Hon Bag Chairs, Black",170.88,4,0.0,1.68,9.93,High
22318,IN-2012-49500,2012-01-05,2012-04-05,Second Class,KN-16390,Katherine Nockton,Corporate,Mau,Madhya Pradesh,India,,APAC,Central Asia,OFF-PA-10003784,Office Supplies,Paper,"Eaton Note Cards, Premium",55.98,2,0.0,27.96,8.53,Critical
37646,CA-2012-104486,2012-01-05,2012-06-05,Standard Class,PO-18850,Patrick O'Brill,Consumer,San Francisco,California,United States,94109.0,US,West,OFF-SU-10002573,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",35.06,2,0.0,10.517999999999999,5.55,High
3713,MX-2012-107811,2012-01-05,2012-03-05,First Class,DL-13315,Delfina Latchford,Consumer,Guadalajara,Jalisco,Mexico,,LATAM,North,OFF-EN-10003689,Office Supplies,Envelopes,"Kraft Business Envelopes, Security-Tint",32.88,3,0.0,1.62,5.51,Medium
35288,CA-2012-161998,2012-01-05,2012-05-05,Standard Class,DB-13120,David Bremer,Corporate,Tampa,Florida,United States,33614.0,US,South,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.552,3,0.2,14.2992,4.93,Medium
8185,US-2012-157056,2012-01-05,2012-06-05,Second Class,DK-12835,Damala Kotsonis,Corporate,Arraiján,Panama,Panama,,LATAM,Central,OFF-AR-10001850,Office Supplies,Art,"Boston Sketch Pad, Water Color",41.424,2,0.4,-23.496,4.78,High
8184,US-2012-157056,2012-01-05,2012-06-05,Second Class,DK-12835,Damala Kotsonis,Corporate,Arraiján,Panama,Panama,,LATAM,Central,TEC-AC-10000883,Technology,Accessories,"Belkin Mouse, Bluetooth",32.568000000000005,2,0.4,-0.552,3.93,High
35289,CA-2012-161998,2012-01-05,2012-05-05,Standard Class,DB-13120,David Bremer,Corporate,Tampa,Florida,United States,33614.0,US,South,OFF-SU-10004261,Office Supplies,Supplies,"Fiskars 8"" Scissors, 2/Pack",41.376000000000005,3,0.2,4.6548,3.73,Medium
37645,CA-2012-104486,2012-01-05,2012-06-05,Standard Class,PO-18850,Patrick O'Brill,Consumer,San Francisco,California,United States,94109.0,US,West,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,37.32,3,0.0,10.4496,3.61,High
16386,ES-2012-5249245,2012-01-05,2012-05-05,Standard Class,PF-19225,Phillip Flathmann,Consumer,Weimar,Thuringia,Germany,,EU,Central,FUR-FU-10000972,Furniture,Furnishings,"Rubbermaid Clock, Erganomic",48.78,1,0.0,24.39,3.53,Medium
8186,US-2012-157056,2012-01-05,2012-06-05,Second Class,DK-12835,Damala Kotsonis,Corporate,Arraiján,Panama,Panama,,LATAM,Central,OFF-BI-10000070,Office Supplies,Binders,"Wilson Jones 3-Hole Punch, Clear",21.96,2,0.4,-1.48,3.36,High
12047,IT-2012-3559379,2012-01-05,2012-04-05,First Class,KB-16240,Karen Bern,Corporate,Birmingham,England,United Kingdom,,EU,North,OFF-AR-10000724,Office Supplies,Art,"Boston Pens, Fluorescent",15.48,2,0.5,-10.26,2.77,High
23625,ID-2012-60434,2012-01-05,2012-04-05,First Class,PG-18820,Patrick Gardner,Consumer,Bangkok,Bangkok,Thailand,,APAC,Southeast Asia,OFF-LA-10004623,Office Supplies,Labels,"Smead Removable Labels, 5000 Label Set",11.13,2,0.47,-0.87,2.48,Medium
30811,IN-2012-82988,2012-01-05,2012-06-05,Second Class,DK-13090,Dave Kipp,Consumer,Wellington,Wellington,New Zealand,,APAC,Oceania,OFF-LA-10004877,Office Supplies,Labels,"Hon Legal Exhibit Labels, 5000 Label Set",22.5,2,0.0,9.0,2.15,Medium
43321,CA-2012-5460,2012-01-05,2012-03-05,First Class,BP-1155,Becky Pak,Consumer,Edmonton,Alberta,Canada,,Canada,Canada,OFF-SME-10000018,Office Supplies,Labels,"Smead Round Labels, Laser Printer Compatible",6.9,1,0.0,2.46,1.52,Critical
37644,CA-2012-104486,2012-01-05,2012-06-05,Standard Class,PO-18850,Patrick O'Brill,Consumer,San Francisco,California,United States,94109.0,US,West,OFF-BI-10000309,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",12.175999999999998,1,0.2,4.4138,1.42,High
3711,MX-2012-107811,2012-01-05,2012-03-05,First Class,DL-13315,Delfina Latchford,Consumer,Guadalajara,Jalisco,Mexico,,LATAM,North,OFF-PA-10004421,Office Supplies,Paper,"Enermax Memo Slips, Multicolor",22.76,2,0.0,8.64,0.83,Medium
30064,ID-2012-75302,2012-01-05,2012-05-05,Standard Class,SO-20335,Sean O'Donnell,Consumer,Denpasar,Bali,Indonesia,,APAC,Southeast Asia,OFF-LA-10002633,Office Supplies,Labels,"Novimex Shipping Labels, Laser Printer Compatible",5.8194,1,0.47,-3.4206,0.55,High
13178,ES-2012-4869643,2012-01-06,2012-06-06,Second Class,TZ-21580,Tracy Zic,Consumer,Hamburg,Hamburg,Germany,,EU,Central,FUR-BO-10000967,Furniture,Bookcases,"Ikea Library with Doors, Pine",1969.596,6,0.1,503.316,106.68,Medium
44033,BU-2012-8790,2012-01-06,2012-03-06,Second Class,JO-5280,Jas O'Carroll,Consumer,Varna,Varna,Bulgaria,,EMEA,EMEA,FUR-SAF-10002940,Furniture,Bookcases,"Safco Corner Shelving, Mobile",303.96,2,0.0,133.74,55.96,High
47372,IR-2012-6980,2012-01-06,2012-06-06,Standard Class,EC-4050,Erin Creighton,Consumer,Zanjan,Zanjan,Iran,,EMEA,EMEA,FUR-OFF-10004495,Furniture,Chairs,"Office Star Swivel Stool, Black",343.02,2,0.0,116.58,46.91,Medium
41419,TU-2012-7030,2012-01-06,2012-05-06,Standard Class,Dl-3600,Dorris liebe,Corporate,Kozan,Adana,Turkey,,EMEA,EMEA,OFF-HAM-10004917,Office Supplies,Appliances,"Hamilton Beach Stove, Red",433.87199999999996,2,0.6,-162.708,33.47,Medium
1048,MX-2012-133172,2012-01-06,2012-06-06,Standard Class,BF-11005,Barry Franz,Home Office,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,,LATAM,Caribbean,FUR-TA-10002885,Furniture,Tables,"Lesro Computer Table, Fully Assembled",342.67199999999997,4,0.7,-799.568,30.96,Medium
40391,US-2012-132836,2012-01-06,2012-05-06,Standard Class,AJ-10945,Ashley Jarboe,Consumer,Detroit,Michigan,United States,48227.0,US,Central,OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts,403.68,6,0.0,181.65599999999998,30.53,Medium
10737,ES-2012-1760393,2012-01-06,2012-06-06,Standard Class,JB-15400,Jennifer Braxton,Corporate,Avignon,Provence-Alpes-Côte d'Azur,France,,EU,Central,TEC-MA-10000161,Technology,Machines,"Konica Receipt Printer, Durable",312.0435,3,0.15,51.3135,23.6,Medium
2919,MX-2012-163279,2012-01-06,2012-03-06,Second Class,RD-19930,Russell D'Ascenzo,Consumer,Ciego de Ávila,Ciego de Ávila,Cuba,,LATAM,Caribbean,TEC-AC-10004241,Technology,Accessories,"Logitech Keyboard, USB",96.88,2,0.0,9.68,21.15,Critical
1049,MX-2012-133172,2012-01-06,2012-06-06,Standard Class,BF-11005,Barry Franz,Home Office,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,,LATAM,Caribbean,OFF-ST-10000619,Office Supplies,Storage,"Eldon Lockers, Wire Frame",210.112,2,0.2,36.751999999999995,20.9,Medium
21526,ID-2012-31174,2012-01-06,2012-06-06,Standard Class,TS-21205,Thomas Seio,Corporate,Bendigo,Victoria,Australia,,APAC,Oceania,TEC-CO-10001391,Technology,Copiers,"Sharp Ink, Color",226.53,2,0.1,-0.03,20.1,Medium
2917,MX-2012-163279,2012-01-06,2012-03-06,Second Class,RD-19930,Russell D'Ascenzo,Consumer,Ciego de Ávila,Ciego de Ávila,Cuba,,LATAM,Caribbean,FUR-FU-10003694,Furniture,Furnishings,"Rubbermaid Clock, Duo Pack",100.44,3,0.0,16.02,19.48,Critical
41423,TU-2012-7030,2012-01-06,2012-05-06,Standard Class,Dl-3600,Dorris liebe,Corporate,Kozan,Adana,Turkey,,EMEA,EMEA,FUR-DAN-10003334,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Traditional",339.48,6,0.6,-101.88,16.98,Medium
45617,NI-2012-2640,2012-01-06,2012-06-06,Standard Class,PB-8805,Patrick Bzostek,Home Office,Damaturu,Yobe,Nigeria,,Africa,Africa,FUR-IKE-10000649,Furniture,Bookcases,"Ikea Library with Doors, Pine",218.84400000000002,2,0.7,-269.916,15.96,Medium
1050,MX-2012-133172,2012-01-06,2012-06-06,Standard Class,BF-11005,Barry Franz,Home Office,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,,LATAM,Caribbean,FUR-BO-10004340,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",176.268,1,0.4,-102.83200000000001,14.69,Medium
47371,IR-2012-6980,2012-01-06,2012-06-06,Standard Class,EC-4050,Erin Creighton,Consumer,Zanjan,Zanjan,Iran,,EMEA,EMEA,FUR-OFF-10001224,Furniture,Chairs,"Office Star Swivel Stool, Red",173.94,1,0.0,8.67,14.51,Medium
17925,ES-2012-5273222,2012-01-06,2012-05-06,Standard Class,KL-16555,Kelly Lampkin,Corporate,Plymouth,England,United Kingdom,,EU,North,TEC-CO-10003342,Technology,Copiers,"Canon Wireless Fax, High-Speed",376.86,1,0.0,97.98,14.14,Medium
40390,US-2012-132836,2012-01-06,2012-05-06,Standard Class,AJ-10945,Ashley Jarboe,Consumer,Detroit,Michigan,United States,48227.0,US,Central,TEC-PH-10001299,Technology,Phones,Polycom CX300 Desktop Phone USB VoIP phone,299.98,2,0.0,83.9944,12.55,Medium
2920,MX-2012-163279,2012-01-06,2012-03-06,Second Class,RD-19930,Russell D'Ascenzo,Consumer,Ciego de Ávila,Ciego de Ávila,Cuba,,LATAM,Caribbean,OFF-LA-10003955,Office Supplies,Labels,"Avery Shipping Labels, 5000 Label Set",57.12,7,0.0,2.8,12.53,Critical
44034,BU-2012-8790,2012-01-06,2012-03-06,Second Class,JO-5280,Jas O'Carroll,Consumer,Varna,Varna,Bulgaria,,EMEA,EMEA,OFF-FEL-10004224,Office Supplies,Storage,"Fellowes Trays, Wire Frame",56.46,1,0.0,14.1,9.79,High
47373,IR-2012-6980,2012-01-06,2012-06-06,Standard Class,EC-4050,Erin Creighton,Consumer,Zanjan,Zanjan,Iran,,EMEA,EMEA,TEC-ENE-10002254,Technology,Accessories,"Enermax Keyboard, Programmable",84.96,1,0.0,36.51,9.2,Medium
23298,IN-2012-53483,2012-01-06,2012-05-06,Second Class,RS-19420,Ricardo Sperren,Corporate,Wollongong,New South Wales,Australia,,APAC,Oceania,OFF-FA-10000899,Office Supplies,Fasteners,"Stockwell Clamps, 12 Pack",65.77199999999999,4,0.1,29.171999999999997,6.38,High
21646,IN-2012-21703,2012-01-06,2012-02-06,First Class,TP-21415,Tom Prescott,Consumer,Islamabad,F.C.T.,Pakistan,,APAC,Central Asia,OFF-PA-10003906,Office Supplies,Paper,"Eaton Memo Slips, Premium",48.09,7,0.5,-4.83,6.26,High
1052,MX-2012-133172,2012-01-06,2012-06-06,Standard Class,BF-11005,Barry Franz,Home Office,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,,LATAM,Caribbean,FUR-TA-10000855,Furniture,Tables,"Chromcraft Training Table, Rectangular",112.584,2,0.7,-232.696,5.12,Medium
23299,IN-2012-53483,2012-01-06,2012-05-06,Second Class,RS-19420,Ricardo Sperren,Corporate,Wollongong,New South Wales,Australia,,APAC,Oceania,OFF-LA-10003236,Office Supplies,Labels,"Hon Round Labels, Adjustable",20.52,5,0.1,5.37,4.73,High
35266,US-2012-163685,2012-01-06,2012-05-06,Standard Class,KE-16420,Katrina Edelman,Corporate,San Antonio,Texas,United States,78207.0,US,Central,OFF-PA-10002606,Office Supplies,Paper,Xerox 1928,42.24,10,0.2,13.2,4.67,Medium
2918,MX-2012-163279,2012-01-06,2012-03-06,Second Class,RD-19930,Russell D'Ascenzo,Consumer,Ciego de Ávila,Ciego de Ávila,Cuba,,LATAM,Caribbean,OFF-EN-10003560,Office Supplies,Envelopes,"Kraft Clasp Envelope, with clear poly window",16.72,2,0.0,1.48,4.45,Critical
10736,ES-2012-1760393,2012-01-06,2012-06-06,Standard Class,JB-15400,Jennifer Braxton,Corporate,Avignon,Provence-Alpes-Côte d'Azur,France,,EU,Central,OFF-SU-10004691,Office Supplies,Supplies,"Fiskars Scissors, Serrated",79.44,4,0.0,35.64,4.4,Medium
1051,MX-2012-133172,2012-01-06,2012-06-06,Standard Class,BF-11005,Barry Franz,Home Office,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,,LATAM,Caribbean,OFF-AP-10000407,Office Supplies,Appliances,"KitchenAid Refrigerator, Silver",845.904,3,0.2,74.00399999999999,4.34,Medium
24012,IN-2012-11700,2012-01-06,2012-05-06,Second Class,BF-10975,Barbara Fisher,Corporate,Palmerston,Northern Territory,Australia,,APAC,Oceania,OFF-BI-10002853,Office Supplies,Binders,"Avery Binder Covers, Recycled",20.574,2,0.1,8.454,3.48,Medium
1047,MX-2012-133172,2012-01-06,2012-06-06,Standard Class,BF-11005,Barry Franz,Home Office,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,,LATAM,Caribbean,FUR-CH-10003559,Furniture,Chairs,"Office Star Chairmat, Black",67.616,2,0.2,25.336,3.32,Medium
1046,MX-2012-133172,2012-01-06,2012-06-06,Standard Class,BF-11005,Barry Franz,Home Office,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,,LATAM,Caribbean,OFF-AR-10003179,Office Supplies,Art,"BIC Pencil Sharpener, Blue",46.416000000000004,3,0.2,15.636,3.06,Medium
21645,IN-2012-21703,2012-01-06,2012-02-06,First Class,TP-21415,Tom Prescott,Consumer,Islamabad,F.C.T.,Pakistan,,APAC,Central Asia,FUR-CH-10001382,Furniture,Chairs,"Office Star Chairmat, Red",315.936,6,0.2,114.516,2.97,High
40392,US-2012-132836,2012-01-06,2012-05-06,Standard Class,AJ-10945,Ashley Jarboe,Consumer,Detroit,Michigan,United States,48227.0,US,Central,TEC-PH-10001300,Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",41.9,2,0.0,11.732000000000001,2.82,Medium
12086,ES-2012-5944655,2012-01-06,2012-03-06,Second Class,TP-21565,Tracy Poddar,Corporate,Basel,Basel-Stadt,Switzerland,,EU,Central,OFF-AR-10000491,Office Supplies,Art,"Binney & Smith Pens, Water Color",45.36,3,0.0,16.29,2.79,High
41421,TU-2012-7030,2012-01-06,2012-05-06,Standard Class,Dl-3600,Dorris liebe,Corporate,Kozan,Adana,Turkey,,EMEA,EMEA,OFF-STA-10004163,Office Supplies,Art,"Stanley Markers, Fluorescent",37.536,4,0.6,-24.504,2.73,Medium
13177,ES-2012-4869643,2012-01-06,2012-06-06,Second Class,TZ-21580,Tracy Zic,Consumer,Hamburg,Hamburg,Germany,,EU,Central,OFF-AR-10002852,Office Supplies,Art,"Stanley Pens, Fluorescent",33.93,3,0.0,2.97,2.63,Medium
47374,IR-2012-6980,2012-01-06,2012-06-06,Standard Class,EC-4050,Erin Creighton,Consumer,Zanjan,Zanjan,Iran,,EMEA,EMEA,OFF-ACC-10002343,Office Supplies,Binders,"Acco 3-Hole Punch, Durable",31.62,1,0.0,12.96,2.53,Medium
41420,TU-2012-7030,2012-01-06,2012-05-06,Standard Class,Dl-3600,Dorris liebe,Corporate,Kozan,Adana,Turkey,,EMEA,EMEA,FUR-HON-10000191,Furniture,Chairs,"Hon Bag Chairs, Adjustable",38.111999999999995,2,0.6,-36.228,2.26,Medium
41422,TU-2012-7030,2012-01-06,2012-05-06,Standard Class,Dl-3600,Dorris liebe,Corporate,Kozan,Adana,Turkey,,EMEA,EMEA,OFF-ELD-10001832,Office Supplies,Storage,"Eldon Shelving, Single Width",19.38,1,0.6,-29.07,1.42,Medium
2916,MX-2012-163279,2012-01-06,2012-03-06,Second Class,RD-19930,Russell D'Ascenzo,Consumer,Ciego de Ávila,Ciego de Ávila,Cuba,,LATAM,Caribbean,OFF-BI-10001167,Office Supplies,Binders,"Wilson Jones Binder, Clear",16.64,2,0.0,3.8,1.11,Critical
40393,US-2012-132836,2012-01-06,2012-05-06,Standard Class,AJ-10945,Ashley Jarboe,Consumer,Detroit,Michigan,United States,48227.0,US,Central,OFF-LA-10004178,Office Supplies,Labels,Avery 491,28.91,7,0.0,13.2986,1.11,Medium
16946,ES-2012-2867475,2012-01-06,2012-03-06,Second Class,FP-14320,Frank Preis,Consumer,Dresden,Saxony,Germany,,EU,Central,OFF-BI-10000440,Office Supplies,Binders,"Acco Index Tab, Economy",10.08,2,0.5,-0.84,0.9,High
23005,IN-2012-79460,2012-01-06,2012-06-06,Standard Class,CD-12280,Christina DeMoss,Consumer,Adelaide,South Australia,Australia,,APAC,Oceania,OFF-LA-10002319,Office Supplies,Labels,"Smead Legal Exhibit Labels, Laser Printer Compatible",9.99,1,0.1,3.66,0.86,Medium
24304,IN-2012-79985,2012-01-06,2012-05-06,Standard Class,ES-14020,Erica Smith,Consumer,Zigong,Sichuan,China,,APAC,North Asia,OFF-BI-10003468,Office Supplies,Binders,"Wilson Jones Binder Covers, Durable",12.69,1,0.0,4.92,0.79,Medium
41881,KZ-2012-4240,2012-01-06,2012-06-06,Standard Class,FG-4260,Frank Gastineau,Home Office,Temirtau,Qaraghandy,Kazakhstan,,EMEA,EMEA,OFF-SME-10004160,Office Supplies,Storage,"Smead Folders, Wire Frame",4.968,1,0.7,-10.602,0.42,Medium
35265,US-2012-163685,2012-01-06,2012-05-06,Standard Class,KE-16420,Katrina Edelman,Corporate,San Antonio,Texas,United States,78207.0,US,Central,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,5.728,8,0.8,-9.1648,0.27,Medium
41882,KZ-2012-4240,2012-01-06,2012-06-06,Standard Class,FG-4260,Frank Gastineau,Home Office,Temirtau,Qaraghandy,Kazakhstan,,EMEA,EMEA,OFF-CAR-10001358,Office Supplies,Binders,"Cardinal Hole Reinforcements, Clear",1.44,1,0.7,-1.17,0.12,Medium
